{time: 1729092362614, bid: 5822.507, ask: 5823.033, mid: 5822.770000}
{time: 1729092364725, bid: 5823.012, ask: 5823.508, mid: 5823.260000}
{time: 1729092368181, bid: 5822.506, ask: 5823.026, mid: 5822.766000}
{time: 1729092370837, bid: 5822.491, ask: 5823.011, mid: 5822.751000}
{time: 1729092371789, bid: 5822.254, ask: 5822.777, mid: 5822.515500}
{time: 1729092376228, bid: 5822.266, ask: 5822.774, mid: 5822.520000}
{time: 1729092378737, bid: 5822.807, ask: 5823.276, mid: 5823.041500}
{time: 1729092385280, bid: 5822.317, ask: 5822.783, mid: 5822.550000}
{time: 1729092387486, bid: 5822.251, ask: 5822.771, mid: 5822.511000}
{time: 1729092391845, bid: 5822.266, ask: 5822.789, mid: 5822.527500}
{time: 1729092392398, bid: 5822.269, ask: 5822.786, mid: 5822.527500}
{time: 1729092400935, bid: 5822.519, ask: 5823.03, mid: 5822.774500}
{time: 1729092403743, bid: 5822.88, ask: 5823.403, mid: 5823.141500}
{time: 1729092405298, bid: 5822.744, ask: 5823.267, mid: 5823.005500}
{time: 1729092448816, bid: 5822.067, ask: 5822.524, mid: 5822.295500}
{time: 1729092454834, bid: 5821.893, ask: 5822.419, mid: 5822.156000}
{time: 1729092457339, bid: 5822.029, ask: 5822.543, mid: 5822.286000}
{time: 1729092458842, bid: 5822.504, ask: 5823.024, mid: 5822.764000}
{time: 1729092463428, bid: 5822.51, ask: 5823.018, mid: 5822.764000}
{time: 1729092471661, bid: 5822.76, ask: 5823.268, mid: 5823.014000}
{time: 1729092473766, bid: 5822.766, ask: 5823.223, mid: 5822.994500}
{time: 1729092475375, bid: 5823.057, ask: 5823.529, mid: 5823.293000}
{time: 1729092476778, bid: 5823.256, ask: 5823.776, mid: 5823.516000}
{time: 1729092485737, bid: 5823.247, ask: 5823.758, mid: 5823.502500}
{time: 1729092488095, bid: 5823.247, ask: 5823.761, mid: 5823.504000}
{time: 1729092493860, bid: 5823.009, ask: 5823.517, mid: 5823.263000}
{time: 1729092496598, bid: 5822.994, ask: 5823.529, mid: 5823.261500}
{time: 1729092498804, bid: 5822.741, ask: 5823.276, mid: 5823.008500}
{time: 1729092500109, bid: 5822.817, ask: 5823.274, mid: 5823.045500}
{time: 1729092501664, bid: 5823.057, ask: 5823.508, mid: 5823.282500}
{time: 1729092504071, bid: 5823.241, ask: 5823.764, mid: 5823.502500}
{time: 1729092508684, bid: 5823.373, ask: 5823.893, mid: 5823.633000}
{time: 1729092509041, bid: 5823.503, ask: 5824.026, mid: 5823.764500}
{time: 1729092512005, bid: 5823.253, ask: 5823.758, mid: 5823.505500}
{time: 1729092518816, bid: 5823.253, ask: 5823.773, mid: 5823.513000}
{time: 1729092521270, bid: 5823.012, ask: 5823.463, mid: 5823.237500}
{time: 1729092522142, bid: 5823.247, ask: 5823.767, mid: 5823.507000}
{time: 1729092533346, bid: 5823.259, ask: 5823.713, mid: 5823.486000}
{time: 1729092541366, bid: 5823.262, ask: 5823.764, mid: 5823.513000}
{time: 1729092543424, bid: 5823.509, ask: 5824.017, mid: 5823.763000}
{time: 1729092544372, bid: 5823.491, ask: 5824.026, mid: 5823.758500}
{time: 1729092546692, bid: 5823.503, ask: 5824.008, mid: 5823.755500}
{time: 1729092548645, bid: 5823.253, ask: 5823.764, mid: 5823.508500}
{time: 1729092551652, bid: 5823.244, ask: 5823.779, mid: 5823.511500}
{time: 1729092553657, bid: 5823.762, ask: 5824.273, mid: 5824.017500}
{time: 1729092558042, bid: 5823.876, ask: 5824.333, mid: 5824.104500}
{time: 1729092558595, bid: 5823.996, ask: 5824.513, mid: 5824.254500}
{time: 1729092562906, bid: 5823.984, ask: 5824.507, mid: 5824.245500}
{time: 1729092566113, bid: 5823.737, ask: 5824.257, mid: 5823.997000}
{time: 1729092568622, bid: 5823.487, ask: 5823.953, mid: 5823.720000}
{time: 1729092570827, bid: 5823.382, ask: 5823.89, mid: 5823.636000}
{time: 1729092571479, bid: 5823.547, ask: 5823.953, mid: 5823.750000}
{time: 1729092575038, bid: 5823.49, ask: 5824.004, mid: 5823.747000}
{time: 1729092576743, bid: 5823.797, ask: 5824.248, mid: 5824.022500}
{time: 1729092586673, bid: 5823.797, ask: 5824.263, mid: 5824.030000}
{time: 1729092590487, bid: 5824.221, ask: 5824.744, mid: 5824.482500}
{time: 1729092595730, bid: 5824.471, ask: 5824.991, mid: 5824.731000}
{time: 1729092597133, bid: 5824.723, ask: 5825.183, mid: 5824.953000}
{time: 1729092599789, bid: 5824.537, ask: 5825.003, mid: 5824.770000}
{time: 1729092601465, bid: 5824.474, ask: 5825.009, mid: 5824.741500}
{time: 1729092603724, bid: 5824.72, ask: 5825.249, mid: 5824.984500}
{time: 1729092607984, bid: 5824.233, ask: 5824.753, mid: 5824.493000}
{time: 1729092608894, bid: 5824.723, ask: 5825.228, mid: 5824.975500}
{time: 1729092611615, bid: 5824.476, ask: 5824.999, mid: 5824.737500}
{time: 1729092613672, bid: 5824.479, ask: 5824.999, mid: 5824.739000}
{time: 1729092615731, bid: 5824.714, ask: 5825.183, mid: 5824.948500}
{time: 1729092617387, bid: 5824.527, ask: 5824.996, mid: 5824.761500}
{time: 1729092618540, bid: 5824.224, ask: 5824.753, mid: 5824.488500}
{time: 1729092620393, bid: 5824.287, ask: 5824.75, mid: 5824.518500}
{time: 1729092629279, bid: 5824.527, ask: 5824.996, mid: 5824.761500}
{time: 1729092631385, bid: 5824.711, ask: 5825.231, mid: 5824.971000}
{time: 1729092634508, bid: 5824.464, ask: 5824.987, mid: 5824.725500}
{time: 1729092636974, bid: 5823.733, ask: 5824.241, mid: 5823.987000}
{time: 1729092637525, bid: 5823.98, ask: 5824.5, mid: 5824.240000}
{time: 1729092643234, bid: 5824.232, ask: 5824.743, mid: 5824.487500}
{time: 1729092650855, bid: 5823.733, ask: 5824.256, mid: 5823.994500}
{time: 1729092656974, bid: 5823.979, ask: 5824.493, mid: 5824.236000}
{time: 1729092658956, bid: 5823.982, ask: 5824.487, mid: 5824.234500}
{time: 1729092662317, bid: 5823.976, ask: 5824.49, mid: 5824.233000}
